Trade,Scope ,Pg # 1 ,Pg # 2,Pg # 3,Pg # 4,Pg # 5,Pg # 6,Pg # 7,"Indicator (Key Notes, unless specified)",Addtl Notes ,Question?
,Provide and install one CDOT perpendicular curp ramp w/ vertical return curb ,CS 5 ,CS 16 ,,,,,,,,
,Provide and install one CDOT directional parallel curb ramp ,CS 5 ,CS 16,,,,,,,,
,Provide and install one pedestrian ramp ,CS 5,,,,,,,,,
,Provide and install one CDOT parallel curb ramp ,CS 5 ,CS 16,,,,,,,,
Concrete,Provide and install concrete stairs at pedstrian ramp ,CS 5,CS 7 ,CS 18,,,,,,"pg17 is false positive, actually on 18; CS 7 contains more specifics on stairs ",
Concrete,Provide and install truncated domes to all vertical ramps ,CS 5,CS 2,CS 16,CS 17,,,,,"Note on general notes pg2 all ramps must have truncated domes look after first pass
pg , also no specifics for DWS(detectable warning surface) on 16, but the legend has it specified ",
Outdoor Furniture,Provide and install benches and tables,CS 5,X-1,,,,,,"31,32","CS 5 - intial catch , no specifics 
CS 32 - specific bench w/ back 6' and 46'' ground mounted square picnic table, see landscape drawings",
Asphalt ,Provide and install asphalt parking lot ,CS 5,CS 7,CS 17 ,,,,,,"intial catch on pg5 w/ arrow point towards asphalt pavement
but def pg7 w/ all the grading information 
note the CS 17 requirements for asphalt potentially dirtwork guy does rescarification 
but dependent on quality of subs ",
Fencing ,Provide and install 6' decorative metal fence,CS 5,CS 9,CS 18 ,X-1,X-2,A-101,,"4,10","CS 5 - intial catch 
CS 9 - redundant catch
CS 18 - civil specifications for fence 
X-1 - specifics for 6' H fence 
The additional note requires all fence gates and swinging doors to be smooth i.e. no protruding objects
X-2 - architecutral specifications for fence 
A-101 - referenced fence ",
Door Installer,Provide and install all fence metal gates ,CS 5,CS 9,CS 18 ,X-1,X-2,,,"5,7,Swinging Eoor & Gate Surface Note","Note on CS5, CS9, CS18 only specify the 6' metal gates not the 4', they're present on X-1, 
X-2 contains specifics for the 6' metal fence gate
X-2 RFI on the fence post gates as you wouldn't put a rubber boot if you were wrapping around concrete ",
Door Installer,Provide and install panic devices to all fence gates ,CS 9,CS 18 ,X-1,X-2,,,,8,"two 4x6' gates
four 4x4' gates
all have panice devices",
,Provide and install alarm gri-gt 10-4 to all fence gates,,,X-1,,,,,28,"since this is grouped, w/ the 4' and 6' fence gates I'm going to leave it here for now",correct trade?
Fencing ,"Provide and install cedar fence, should match existing",CS 5,CS 17 ,,,,,,, ,
Site Utilities ,Provide and install outlet structure to be retrofitted w/ orifice plate and trash screen ,CS 5 ,CS 9,CS 19,,,,,,see elevation sheet 19 for specifics ,
Concrete,Provide and install sidewalk chase drain ,CS 5 ,CS 9 ,CS 17 ,,,,,,,
Concrete ,Provide and install 5' CDOT inlet type R ,CS 5 ,CS 9 ,,,,,,,,
,,,,,,,,,,,
Striping ,Provide and install parking lot striping ,CS 6,X-1,,,,,,15,"CS 6 - Signage layout 
X-1 - Reference again ",
Striping ,Provide and install symbol of acessibilities,CS 6,X-1,,,,,,16,"CS 6 - Signage layout 
X-1 - Reference again ",
Sight Signage ,Provide and install accessible parking R7-8 and R7-8B,CS 6,,,,,,,,,
Sight Signage ,Provide and install (R1-1) Stop Sign ,CS 6,,,,,,,,,
Site Utilities,Provide and install storm manhole and catch basin ,CS 6 ,CS 9 ,,,,,,,"Note: not actually specified intuitelivy should pick up on CS 9 b/c it's connected to the 
storm drain",
,,,,,,,,,,,
Excavating,Excavate and prep subgrade and export dirt for asphalt ,CS 7,,,,,,,,,
Excavating,Scarify and compact to a depth of 36'' at asphalt parking lot ,CS 7 ,CS 17,,,,,,,"trade is subjective here could be asphalt, excavating ",
Asphalt,Provide and install ABC (aggregate base course) to a depth of 8.5'' at asphalt parking lot ,CS 7 ,CS 17,,,,,,,"trade is subjective here could be asphalt, excavating ",
Excavating,Trenching for domestic water,CS 7,CS 15 ,,,,,,,,
Excavating,Trenching for sewer lines,CS 7,CS 12 ,CS 15 ,,,,,,"CS 12 - specifics for depth, lineal footage, material specifics ",
Excavating,"Trenching for stormwater underdrain, within building  ",CS 7,CS 8,CS 11 ,CS 16 ,,,,,"CS 7 - knows it's a pipe
CS 8 - know's it's a storm drain byt the legend 
CS 11 - determins lineal footage + HDPE , for backfilling specifics, 
             notice the elevation changes and direction on each inlet to determine trenching amounts 
             the parenthisized directions (N,S,W,E) are the pipe coming from that direction the direction
             of expected water flow must always be the lowest 
CS 16 contains specifics for HDPE/PVC ",
Concrete ,Provide and intall concrete V gutter w/ level spreader ,CS 7,,CS 19 ,,,,,,see elevation sheet 19 for specs ,
Excavating ,Trenching for pipe tying into 5' CDOT inlet type R ,CS 7 ,CS 9 ,CS10 ,,,,,,"CS 7 catch b/c of dark contour lines suggestinig changes in elevation 
hard catch on CS 9 as legend identifies it as a storm sewer
 CS 10 for takeoff purposes and excavting depth",
,,,,,,,,,,,
Concrete ,Provide and install concrete retaining wall around building lot ,CS 8,CS 18 ,X-1,,,,,39,"CS 8 - first introduced here 
CS 18 - specs for retaining wall 
X-1 - referenced again here in the keynotes ",
General Exclusion ,Contractor shall provide a retaining wall design that meet approval of City of Thorton. ,CS 8 ,X-1 ,,,,,,,"Potential RFI here as there are no specifics for the retaining wall other than in X-1 
where you can extrapolate height based on top and bottom of wall elevations
Lineal footage takeoff on total retaining wall lenght based on given coords 
also wall section cutoff on CS 8 w/ heights and important info, etc. ",
Site Utilities General Note,Demo and/or remove existing siting utilities as shown on plans ,CS 8 ,,,,,,,,,
,,,,,,,,,,,
Site Utilities ,"Provide and install 3 water service lines for domestic water, fire sprinklers, and fire hydrant ",CS 9,CS 13,CS 14,X-1,,,,"17,18,19","city handles final tie-ins for water lines , specifics on type K copper LF
RFI for the water tap size for domestic water line, as not specified 

CS 9 - Introduced water lines
CS 13- Domestic, fire lines, fire sprinkler referemced again 
CS 14 - Specifics on fire hydrant line 

X-1 KN (keynote) 17 - 1-1.5'' domestic water line 
X-1 KN 18 - 6'' fire line ",are final tie-in's included in this scope? 
Site Utilities ,"Provide and install all required tee w/ gate valve(s), gate valve(s) for water service lines",CS 9,CS 13,CS 14,,,,,,"redundantly places on pg13, nice-to-have, but makes it difficult on the LLM
notice 16'' - 42'' valve and vault elevation not relevant, false positive ",
Site Utilities ,Provide and install fire hydrant ,CS 9,CS 13,CS 14,,,,,,"see elevation sheet 14 for specifics
noticed in pg9, specifics on elecation pg13/14",
Excavating,"Backfill domestic water trench, once inspected",CS 9,CS 15 ,,,,,,,CS 15/16 contains specifics on backfilling,
Excavating,"Backfill fire sprinklers' trench, once inspected",CS 9,CS 15 ,,,,,,,CS 15/16 contains specifics on backfilling,
Excavating,"Backill fire hyrdrant trench, once inspected",CS 9,CS 16 ,,,,,,,CS 15/16 contains specifics on backfilling,
Erosion Control,Protect sanitary manholes ,CS 9,,,,,,,,intial catch on CS 9 ,
Site Utilities ,"Provide and install two 6`` sanitary service connections, one for future use ",CS 9,CS 12 ,,,,,,,see top right ,
SIte Utilities ,Provide and install 6'' sanitary service line to tie into building ,CS 9,CS 12 ,CS 16,X-1,,,,20,,
SIte Utilities ,Provide and install 6'' sanitary service line for future use ,CS 9,CS 12 ,CS 16,,,,,,"CS 9 - introduction
CS 12 - close-up
CS 16 - specificatins on sewer line",
General Notes,City and water district tap fees for sewer and water ,CS 9 ,CS 12 ,CS 13,,,,,,"sanitary zoom-in on CS 12 and domestic water zoom-in on CS-13, 
note: this is only a groundup project 'thing'",
Traffic Control ,Provide traffic control for all streetwork,CS 9,,,,,,,,,
Site Utilities ,Sanitary manhole cover and top section of barrel to be removed and then flowfilled w/ concrete ,CS 9,,,,,,,,,
Landscaping ,Sod area around removed sanitary manhole,CS 9,,,,,,,,,
Site Utilities ,Install water meter & vault ,CS 9,CS 15 ,,,,,,,specifics on installation on CS15,
Site Utilities ,Provide and install 1500 gal grease interceptor ,CS 9,CS 12,X-1 ,,,,,26,"CS 9 - noted for first time
CS 12 - specifics on volume
X-1 - referenced again",
Site Utilities ,Provide and install manhole convers to grease interceptor ,CS 9 ,CS 12,,,,,,,"CS 9 - small but present on CS 9 -inital catch 
CS 12  - Super definitive ",
,Provide and install playground rubber mats ,CS 9 ,,,,,,,,trade is undefined ,
Site Utilities ,Provide and install storm sewer drain and required inlets around building ,CS 9 ,CS 11,CS 16 ,A-105,,,,,"CS 9 w/ legend and overview
CS 11 goes into specifics for takeoff
CS 16 for methods
can specifiy the breakdown in thickness, material, and LF across the board, main focus is one wrapping around building 
A-105 - referenced again the tie ins w/ the gutter",
,,,,,,,,,,,
General Exclusions ,Ensure 18`` vertical clearance between all utilities line,CS 10,CS 13,,,,,,,,
Site Utilities ,Provide and install storm sewer drain(s) ,CS 10,,,,,,,,"zoom up of one close to parking lot, contains material, LF, and thickness
could intuitvely catch it on CS 9 and CS 7 ",
,,,,,,,,,,,
Concrete ,Tie in existing concrete pan saw cut 2' opening in curb to accomodate pan ,CS 11,,,,,,,,,
Site Utilities ,Install all required Tee(s) w/ Cleanout (goes w/ roof tie-in's),CS 11,,,,,,,,,
,,,,,,,,,,,
Site Utilities ,Provide and install one sanitary stub for future tie-in ,CS 12,,,,,,,,,
Site Utilities ,Provide and install 7 cleanouts along w/ insulation board,CS 12,,,,,,,,,
Site Utilities ,Provide and install new sanitary manhole cover (on sewer line) ,CS 12 ,,,,,,,,"CS 12 - definitive as it's no longer faint, but no explicit text pointing to it's installation ",
General Exclusions ,Assuming utilities have been coordinated w/ the other disciplines in the construction documents,CS 12,,,,,,,,"bs for making gc verify this info, part of architect scope ",
General Exclusions ,Assume all utility mains are adequately located and sized ,CS 12,,,,,,,,,
,,,,,,,,,,,
Site Utilities ,Coordinate w/ city to complete 3 water service liine tie-ins ,CS 13,,,,,,,,"ref to plumbing plans, every city is differnet, but some coordination is required 
could intuitevly catch on CS 9 given the overall utility plan  ",
Fire Sprinkler,Provide and install FDC connection point ,CS 13,X-1 ,A-201,,,,,37,"FDC (Fire Department Connection)

X-1 KN37: References FDC again 
A-201 : referenced in note 5 ",
,,,,,,,,,,,
Erosion Control ,Provide and install intial silt fence,EC 22,EC 25,,,,,,,,
Erosion Control ,Provide and install vehicle tracking control ,EC 22,EC 25,,,,,,,EC 25 - called vehicle tracking pad not vehicle tracking control ,
Erosion Control ,Provide and install stabilized staging area,EC 22,EC 26,,,,,,,,
Erosion Control ,Provide and install inlet protection,EC 22,EC 25,,,,,,,,
Erosion Control ,Provide and install concrete washout area,EC 22 ,EC 25,,,,,,,,
,,,,,,,,,,,
Erosion Control ,Relocate silt fence for the interim phase ,EC 23,EC 25,,,,,,,EC 23 - ensure LLM catches directional/length change of silt fence ,
Erosion Control ,Provide and install additional inlet protection for the interim phase,EC 23,EC 22,,,,,,,combination of EC 23 and EC 22 ,
Erosion Control ,Provide and install rock socks in the interim phase,EC 23,EC 26,,,,,,,,
Erosion Control ,Provide and install sediment control log in the interim phase,EC 23,EC 25,,,,,,,,
,,,,,,,,,,,
Erosion Control ,Relocate silt fence for the final phase ,EC 24 ,EC 25,,,,,,,,
Erosion Control ,Remove one rocksock for the final phase ,EC 24 ,EC 23,EC 26,,,,,,"EC 23 - 5 rocksocks 
EC 24 - 4 rocksocks ",
Landscaping,Provide and install permanent seeding w/ mulching,EC 24 ,EC 27 ,,,,,,,,
Erosion Control ,"Remove vehicle tracking control, staging, and concrete washout area for final phase ",EC 24 ,EC 26,EC 25 ,,,,,,,
,,,,,,,,,,,
Outdoor Furniture,Provide and install playground equipment,X-1 ,,,,,,,"1,2",,
Fencing ,Provide and install 4' ornamental fence ,X-1,,,,,,,6,"X-1 - first catch of a 4' tall fence, around playground",
,,,,,,,,,,,
Landscaping ,Provide and install irrigated sod ,X-1,,,,,,,10,,
Plumbing,Provide and install hose bib ,X-1,A-201,P-102,,,,,11,A-201 - see note 5 and elevation 8 ,
Signage ,Provide and install monument sign ,X-1,,,,,,,13,,
Fencing ,Provide and install fence on top of retaining wall ,X-1,,,,,,,33,X-1 - References landscaping elevations w/o specific page numbers,
Outdoor Furniture,Provide and install universal bike rack ,X-1,,,,,,,34,"X-1 - first introduction, references landscape drawings ",
Outdoor Furniture,Provide and install bike service station ,X-1,,,,,,,35,,
Signage,Provide and install reserved for veterans parking signage,X-1,,,,,,,36,,
Signage,"Provide and install fire lane signs, as specified",X-1,,,,,,,38,,
Outdoor Furniture,Provide and install recycled plastic receptacle w/ liner 45 gal ,X-1,,,,,,,30,X-1 - Refers to landscape drawings (it's a trashcan),
GC ,Coordinate w/ utility company for new gas meter,X-1,,,,,,,29,,
Electrical ,Provide and install parking lot lights,X-1,,,,,,,27,X-1 - Refers us to electrical,
Electrical ,Provide and install parking lot poles ,X-1,,,,,,,27,"X-1 - Intuitive, not explicit based on KN 27",
,Provide and install knox box mounted 60`` AFG (aboved finished grade),X-1,A-101,A-201,,,,,"25,13","X-1 - Refers us to KN13, sheet A-101
A-101 - it's called a lock box, architect misspelled it use positional information to determine this issue
A-201 - referenced again ",Trade?
Electrical,Provide and install underground wiring ,X-1,E-002,,,,,,21,X-1 - Refers us to E-002 ,
,Provide an install four cow's tongue emergency downspouts ,X-1,A-101,A-201,,,,,"14,20, E7","X-1 - Intial 
A-101- CloseUp on floor/wall plan
A-201 - referenced again + mounting instructions - D7",
GC ,Coordinate w/ utility company to install ground mounted transformer,X-1,,,,,,,22,,
Electrical,Provide and install conduits and feeders from transformer ,X-1,,,,,,,23,,
Electrical,Provide and install wall mounted meter and CT cabinent ,X-1,,,,,,,24,,
General Exclusion ,Assume all plants have been specified to not be toxic. ,X-1 ,,,,,,,GN5,,
,,,,,,,,,,,
,Provide and install X cubic yds of conrete for piers ,S2.1,S1.2,S4.2,,,,,,"12'' diameter minimum , 13' embed into bedrock, and minimum 33' total length 

S1.2 - backreference to ""table of mix design requirements"" for concrete specs",
,Provide and install X lineal feet of rebar into concrete piers,S4.1,,,,,,,E12,"S4.1 - elevation 12, contains rebar ",
,Provide and install X cubic yds of concrete for PC2.5 pier caps ,S2.1,S1.2,S4.2,,,,,,"S1.2 - backreference to ""table of mix design requirements"" for concrete specs
           note spelled pile caps in the table, but they're the same thing",
,Provide and install X cubic yds of concrete for PC2 pier caps ,S2.1,S1.2,S4.2,,,,,,"S1.2 - backreference to ""table of mix design requirements"" for concrete specs
           note spelled pile caps in the table, but they're the same thing",
,Provide and install hollow structural sections (HSS),S2.1,S4.2,S1.2,,,,,,"S1.2 - Note: Steel vendor needs to do shop drawings, as HSS(s) are done to length

S4.2 - elevation 7
           7 - tells us that HSS goes on top of pier ",
,Provide and install all 6x6 post w/ CBS66 pose base type4 places,S2.1 ,S4.2,,,,,,,"S4.2 - elevation 10, tell us specifics ",
Concrete,Provide and install X cubic yds of concrete for GB1 grade beams,S2.1,S1.2,S4.2,,,,,,"S1.2 - backreference to ""table of mix design requirements"" for concrete specs",
Cocnrete,Provide and install X lineal feet of rebar into GB1 grade beams,S4.1,,,,,,,E9,S4.1 - elevation 9 ,
Concrete,Provide and install ledge at grade beam walls as shown on plans ,,S4.2,,,,,,,"highlights are grouped subscopes 

S4.2 - elevations 1,3,4 ",
Concrete,Provide and install anchor bolts at grade beam walls ,,S4.2,S5.3,,,,,,"S4.2 - elevations 1,2,3,4",
Concrete,Provide and install embed boards at grade beam walls,,S4.2,,,,,,,"S4.2 - elevations 1,6",
Concrete,Provide and install anchor bolts at steel columns,,S4.2,,,,,,,"S4.2 - elevations 7,9",
____,____,____,____,____,____,____,____,____,____,____,____
,Provide and install X cubic yds of concrete for GB2 grade beams,S2.1,S1.2,S4.2,,,,,,"S1.2 - backreference to ""table of mix design requirements"" for concrete specs",
,Provide and install X lineal feet of rebar into GB2 grade beams,S4.1,,,,,,,E9 ,S4.1 - elevation 9 ,
,,,,,,,,,, ,
,Provide and install X # of W12x40 Steel IBeams,S2.2 ,,,,,,,,,
,Weld Steel IBeams to HSS w/ proper sheer plate connection ,S2.2 ,S.6.1,,,,,,,S6.1 - Notice differing thickness between HSS,
,Provide and install X # of 20'' thick TJI/I Joist 16'' OC ,S2.2 ,,,,,,,,S 2.2 - Perform takeoff to get TJI/I Joist length ,
,Provide and install 23/32'' sheathing ,S2.2 ,,,,,,,,,
,,,,,,,,,,,
,Provide and install shear wall type 2W6,S2.2A,S5.3,,,,,,,"S2.2A - Note we're pointed to S5.10 for shear wall elevations, but it's wrong it's on shear S5.3
S5.3 - elevation 4 - intersecting shear walls",
,Provide and install shear wall type W6,S2.2A,S5.3,,,,,,,"S2.2A - Note we're pointed to S5.10 for shear wall elevations, but it's wrong it's on shear S5.3
S5.3 - elevation 4 - intersecting shear walls ",
,Provide and install shear wall type W3,S2.2A,S5.3,,,,,,,"S2.2A - Note we're pointed to S5.10 for shear wall elevations, but it's wrong it's on shear S5.3
S5.3 - elevation 6 
S5.3 - elevation 4 - intersecting shear walls",
,Provide and install LSL 1 1/2' and 7 1/4' studs at entry way ,S2.2A,,,,,,,,,
,Provide and install HDU2 and HDU5 hold-down straps ,S2.2A,S.53,,,,,,,S5.3 - elevation 9 ,
, ,,,,,,,,,,
,Provide and install headers of type H1 ,S2.3,S2.4,S5.1,,,,,"E2,12","S5.1 - elevation 2, for typical header setup",
,Provide and install headers of type H2,S2.3,S5.1,,,,,,"E2,E12","S5.1 - elevation 2, for typical header setup",
,Provide and install headers of type H3,S2.3,S2.4,S5.1,,,,,"E2,E12","S5.1 - elevation 2, for typical header setup",
,Provide and install headers of type H4,S2.3,S5.1,S6.1,,,,,"E2, E10, E12","S2.3 - H4 = GL(Glulam Beams) 
S5.1 - elevations containinformation abt headers 
S6.1 - elevations on steel capped columns exclusively for glulam beams ",
,Provide and install headers of type H5,S2.3,S5.1,,,,,,"E2, E12",,
,Provide and install all CS14 straps ,S2.3,S5.2,,,,,,"E8, E9 ","S5.3 - elevations 8,9",
,Provide and design roof truss system for roof framing ,S2.3,S2.4,S5.2,,A-201,,,10a,"S2.3 - There's no actual 10a, it's just first bullet 
S2.4 - Note, the snow load plan 
A-201 - references pitch of roof, important truss design confirmed the 6 / 12 pitch on A-302 b/c of 
             inadequete cross sections on A-201",
,Provide and install prefabricated trusses to be 24'' O.C. ,S2.3,S2.4,S5.2,,,,,,S2.4 - Additional installations on top of what's done in S2.3,
,Provide and install 19/32'' roof sheathing ,S2.3,S2.4,,,,,,,S2.4 - Additional installations on top of what's done in S2.3,
,Provide and install all hip trusses ,S2.3,S2.4,S5.2,,,,,,S2.4 - Additional installations on top of what's done in S2.3,
,Provide and install all girder trusses ,S2.3,S2.4,S5.2,,,,,,S2.4 - Additional installations on top of what's done in S2.3,
,Provide and install ECCQ5-8 column cap welded to HSS,S2.3,S6.1 ,,,,,,E10,"S6.1 - see elevation 10 for specifics, note the Thru bolts for future takeoff ",
,"Provide and install all dropped beams, supported by trimmer and king studs, as required ",S2.3,S5.1,S5.2,,,,,"7, E12",S2.3 - see note 7 ,
,Provide and install MGU 5.62-SDS headers,S2.3,,,,,,,6,S2.3 - see not 6 ,
,,,,,,,,,,,
,Provide and install 7 rooftop mechanical units,S2.4,A-105,,,,,,,A-105 - referenced again visually,
,Note: A-101 is INTERIOR WALLS,,,,,,,,,,
,Provide and install X LF of  wall type 1|6BS  ,A-101,,,,,,,,"Top of wall to underside of truss , 5.5' wood stud, 1 layer EA side, acoustical insulation (16BS)",
,Provide and install X LF of  wall type 2|6BS ,A-101,,,,,,,,"Top of wall to underside of deck, 5-1/2' wood stud, 1 layer EA side, acoustical insulation

A-101 - catch the cross section you don't know what it's for yet , realize the wood thickness is actual thickness , nominal thickness to be 2'' x 6'' based of (5.5 + 0.5) ",
,Provide and install X LF of wall type 1|3B ,A-101,,,,,,,,"Top of wall to underside of truss , 3-5/8'  wood stud, 1 layer EA side, acoustical insulation",
,Provide and install X LF of wall type 5|3B ,A-101,A-401,,,,,,,"Crib wall , 3-5/8' wood stud , 1 layer EA side

A-401 - Crib wall elevations, I think",
,Provide and install X LF of wall type 3|3B ,A-101,,,,,,,,"Top of wall to 6'' above ceiling , 3-5/8' wood stud, 1 layer EA side",
,Provide and install X LF of wall type 4|3B  ,A-101,,,,,,,,"Top of wall to 3.25' above finished floor,  3-5/8' wood stud, 1 layer EA side",
,Provide and install X LF of wall type 1|3BS ,A-101,,,,,,,,"Top of wall to underside of truss, 3-5/8' wood stud, 1 layer EA side, acoustical insulation",
,Provide and install X LF of wall type 3|3BS  ,A-101,,,,,,,,"Top of wall to 6'' above ceiling , 3-5/8' wood stud, 1 layer EA side, acoustical insulation",
,Provide and install X LF of wall type 1|6C ,A-101,,,,,,,,"Top of wall to underside of truss, 5-1/2' wood stud, 2 layer one side, 1 layer other",
,Provide and install X LF of wall type 1|6B ,A-101,,,,,,,,"Top of wall to underside of truss, 5-1/2' wood stud, 1 layer EA side",
,Provide and install all fire extinguisher w/ semi recessed fire extinguisher cabinent - SS or AL finish,A-101,,,,,,,1,SS stainless steel,
,Provide and install type K fire extinguisher(s),A-101,,,,,,,2,,
,Provide and install all mop and broom holder(s),A-101,,,,,,,3,,
,Provide and install mop sink ,A-101,,,,,,,4,,
,"Provide and install FRP wall at mop sink, as specified in the construction documents",A-101,A-103,,,,,,4,"FRP (Fiber reinforced plastic)

A-101 - intial
A-103 - referenced again, w/ specifics to the FRP",
,"Provide and install all drain(s), as specified",A-101,,,,,,,5,,
,Provide and install aluminum wall cap where it buts into storefront window,A-101,,,,,,,7,reworded to make more sense ,
,"Provide and install all tactile exit signs, as specified",A-101,,,,,,,12,(the dots blind ppl use to find exits),
,Provide and install vertical roof acess ladder,A-101,A-102,S2.3,,,,,"14,5","A-102 KN5 - more ladder specifics, scope should develop to include roof hatch as well ",
,"Provide and install roof hatch at vertical roof access ladder, as specified in construction documents",,S2.3,A-102,A-105,,,,"5, E6","A-102 KN5 - more ladder specifics, scope should develop to include roof hatch as well 
S2.3 - referenced again, very important b/c truss supplier and framer have to design roof system 
A-105 - referenced again, elevation 6",
,Provide and install utility sink,A-101,,,,,,,16,15 and 17 don't need to be referenced as they're OFCI (owner furnished contracted and installed),
,Install only owner provided washing machine ,A-101,,,,,,,15,,
,Install only owner provided dryer ,A-101,,,,,,,17,,
