Scopes,Page
"Provide turning space cross slope - 2.0% typical. At crossings without yield or stop control, or with a signal where vehicles can proceed through the intersection without slowing or stopping, the cross slope of the turning space may equal the highway grade. At midblock pedestrian street crossings the turning space cross slope may equal the highway grade. Turning space cross slope is measured in the direction of the ramp run.",['Srmxoabrvh']
Provide reinforced concrete pipe (RCP).,['Srmxoabrvh']
Provide parallel ramp.,['Srmxoabrvh']
Provide sidewalk.,['Srmxoabrvh']
Provide roadway shoulder.,['Srmxoabrvh']
Provide curb & gutter.,['Srmxoabrvh']
Provide catalog no. 2408a or approved equal.,['Srmxoabrvh']
Provide grade break.,['Srmxoabrvh']
Provide perpendicular ramp.,['Srmxoabrvh']
"Provide ramp alignment - ramps shall be aligned so the turning space is fully contained within the crosswalk or street crossing they serve. Provide one ramp for each street crossing direction. In alterations, where existing physical constraints prevent providing one curb ramp for each crossing direction, a single diagonal curb ramp (on the apex of a corner) shall be permitted to serve both pedestrian street crossings. If a diagonal ramp is used, a clear space crosswalks and wholly outside of any adjacent vehicular travel lanes. Diagonal ramps are not acceptable in new construction, or full-depth reconstruction.",['Srmxoabrvh']
Provide parallel ramp notes.,['Srmxoabrvh']
Provide cover - gray iron ASTM A48 CL35B.,['Srmxoabrvh']
Provide landing area.,['Srmxoabrvh']
Provide and install landscape buffer as shown in plan view.,['j3xAJu2v4K']
Match existing conditions as noted.,['j3xAJu2v4K']
Provide squared radius curb ramps with cross pan for local streets per Type 2 (Section IB).,['j3xAJu2v4K']
Prepare a jointing plan for engineer review and approval at least 7 days prior to placing any concrete pavement.,['j3xAJu2v4K']
Provide and install Type 1 curb ramp (directional on radius).,['j3xAJu2v4K']
Place detectable warning surfaces as per detectable warning surface placement details.,['j3xAJu2v4K']
Construct Type 2 directional ramp as specified.,['j3xAJu2v4K']
"Adhere to City of Thornton, Colorado Standards & Specifications for curb and gutter installation.",['j3xAJu2v4K']
"Refer to geotechnical study by Cesare, Inc. for concrete recommendations based on New Horizon Academy Thornton site conditions.",['j3xAJu2v4K']
Construct side elevation as detailed.,['j3xAJu2v4K']
Construct front elevation as detailed.,['j3xAJu2v4K']
Provide and install Type 1 curb ramp (perpendicular on tangent).,['j3xAJu2v4K']
Ensure concrete conforms to City of Thornton Section 600-Concrete specifications using 4500PSI CDOT Class D concrete with fiber mesh reinforcement.,['j3xAJu2v4K']
"Adhere to City of Thornton, Colorado Standards & Specifications for concrete sidewalk chase drain installation in commercial, common areas, and detached sections.",['j3xAJu2v4K']
"Follow pavement notes including concrete type, asphalt mix, and grading requirements.",['j3xAJu2v4K']
Construct section A-A as detailed.,['j3xAJu2v4K']
Install non-slip raised #3 rebar 6” long welded pattern steel plate with diamond plate galvanized each side as specified.,['j3xAJu2v4K']
Provide and install Type 2 (Section IIB) as specified.,['j3xAJu2v4K']
Use CDOT Class 6 aggregate base course as the base layer.,['j3xAJu2v4K']
Use CDOT Type P Portland cement for concrete work.,['j3xAJu2v4K']
"Install diamond plated non-slip monolithic slab extending 6” past the chase drain, replacing entire stone when the chase runs through it.",['j3xAJu2v4K']
Follow detectable warning surface notes for proper installation.,['j3xAJu2v4K']
Use hot mix asphalt (HMA) with specified grading thicknesses.,['j3xAJu2v4K']
"Excavate and prepare subgrade to a minimum depth of 36 inches, conditioned within +1 to +3% of optimum moisture content, and compacted to at least 95% of standard proctor density. Proof roll and observe for soft subgrade areas, excavate and replace as needed, and protect approved subgrade from moisture and disturbance.",['j3xAJu2v4K']
Construct section B-B as detailed.,['j3xAJu2v4K']
Provide and install concrete sidewalk.,['vz954XrTqN']
Provide and install curb and gutter type 2 as per section IB.,['vz954XrTqN']
Provide and install curb and gutter type 2 as per section IM.,['vz954XrTqN']
Provide and install modular block units.,['vz954XrTqN']
Provide and install structure backfill class 1.,['vz954XrTqN']
Provide and install curb and gutter type 2 as per section IIM.,['vz954XrTqN']
Provide and install class 6 aggregate base leveling pad.,['vz954XrTqN']
Provide and install sidewalk expansion joint.,['vz954XrTqN']
Provide and finish grade.,['vz954XrTqN']
Provide and install curb and gutter type 2.,['vz954XrTqN']
Provide and install geotextile separator class 1.,['vz954XrTqN']
Provide and establish limits of excavation.,['vz954XrTqN']
Provide and install curb and gutter type 2 as per section IIB.,['vz954XrTqN']
Provide and install curb and gutter type 2 as per section MS.,['vz954XrTqN']
Provide and construct concrete gutters at intersection.,['vz954XrTqN']
Provide and install 4-inch diameter perforated pipe.,['vz954XrTqN']
Install drill bolts and epoxy for bolt installation as specified.,['qE85rFGvFz']
Provide restrictor plate notes as per design specifications.,['qE85rFGvFz']
Install existing outlet structure as detailed.,['qE85rFGvFz']
Provide stainless steel support bars as specified.,['qE85rFGvFz']
Provide orifice plate notes as per design specifications.,['qE85rFGvFz']
Install drill holes and epoxy for bolt installation as specified.,['qE85rFGvFz']
Construct overflow outlet as detailed.,['qE85rFGvFz']
Install concrete V gutter as specified.,['qE85rFGvFz']
Install No. 93 Johnson Vee wire stainless steel well screen or equivalent.,['qE85rFGvFz']
Install close mesh inlet grate as detailed.,['qE85rFGvFz']
Perform pond outlet retrofit detail as specified.,['qE85rFGvFz']
"Install stainless steel 3"" long, 3/8"" dia. hexagonal bolts as required.",['qE85rFGvFz']
Install trash rack as detailed.,['qE85rFGvFz']
Provide continuous neoprene gasket between orifice plate and structure.,['qE85rFGvFz']
Bolt plate to concrete on center as specified.,['qE85rFGvFz']
Construct section A-A as detailed.,['qE85rFGvFz']
Construct level spreader detail as specified.,['qE85rFGvFz']
Install restrictor plate inside existing outlet structure on the outlet wall as detailed.,['qE85rFGvFz']
Construct V gutter typical section as specified.,['qE85rFGvFz']
Install existing detention pond side as detailed.,['qE85rFGvFz']
Enclose top gap with screen mesh that matches trash rack as specified.,['qE85rFGvFz']
Provide neoprene gasket material between the orifice plate and concrete as required.,['qE85rFGvFz']
Install No. 93 stainless steel as specified.,['qE85rFGvFz']
"Saw cut slits full depth of curb maximum 1/4"" or width of saw blade 2.0"" O.C. as detailed.",['qE85rFGvFz']
"Provide and install water main, tee, hydrant, and valve.",['lCJEjInFE9']
"Provide and install storm sewer, manhole and catch basin.",['lCJEjInFE9']
Mark property line as indicated.,['lCJEjInFE9']
Construct building as per design specifications.,['lCJEjInFE9']
Mark right-of-way as indicated.,['lCJEjInFE9']
"Provide and install sanitary sewer, bulkhead and manhole.",['lCJEjInFE9']
"Provide and install water valve manhole, bend, and tee.",['lCJEjInFE9']
Provide and install water service and curb stop box.,['lCJEjInFE9']
Construct ditch/swale as indicated.,['lCJEjInFE9']
Install sign (non-street name) as indicated.,['lCJEjInFE9']
Construct retaining wall as indicated.,['lCJEjInFE9']
Provide and install concrete washout area.,['iwYirAbRAd']
Provide and install stabilized staging area.,['iwYirAbRAd']
Provide and manage stockpile management areas.,['iwYirAbRAd']
Provide and install silt fence.,['iwYirAbRAd']
Provide and install inlet protection.,['iwYirAbRAd']
Provide and establish limits of construction.,['iwYirAbRAd']
Provide and install culvert inlet protection.,['iwYirAbRAd']
Provide and indicate proposed flow arrows for water drainage.,['iwYirAbRAd']
Provide and install vehicle tracking control measures.,['iwYirAbRAd']
Provide and install sediment control logs.,['iwYirAbRAd']
Provide and install rock sock.,['iwYirAbRAd']
Provide and install construction fence.,['iwYirAbRAd']
Provide and install concrete washout area.,['AzST0OGtZp']
Provide and establish stabilized staging area.,['AzST0OGtZp']
Provide and manage stockpile management areas.,['AzST0OGtZp']
Provide and install silt fences as required.,['AzST0OGtZp']
Provide and install inlet protection measures.,['AzST0OGtZp']
Establish limits of construction as indicated.,['AzST0OGtZp']
Provide and install culvert inlet protection measures.,['AzST0OGtZp']
Provide and install sediment control logs as required.,['AzST0OGtZp']
Provide and install rock sock as required.,['AzST0OGtZp']
Provide and install construction fencing as required.,['AzST0OGtZp']
Provide and install silt fences as indicated on the plan.,['bupgHehKY0']
Provide and install rock sock as indicated on the plan.,['bupgHehKY0']
Provide and install inlet protection measures as indicated on the plan.,['bupgHehKY0']
Provide and install permanent seeding with mulching as indicated on the plan.,['bupgHehKY0']
Provide and install erosion control measures in accordance with the City of Thornton standards and specifications.,['bupgHehKY0']
Provide and install utility easements as indicated on the plan.,['bupgHehKY0']
Provide and install drainage easements as indicated on the plan.,['bupgHehKY0']
Provide and install sanitary sewer easements as indicated on the plan.,['bupgHehKY0']
Provide and install water and sanitary sewer easements as indicated on the plan.,['bupgHehKY0']
"If trackout occurs, sweep the roadway immediately.",['UMmBVTHYOR']
"Maintain the construction exit at all times. Blade and/or add 2""-3"" stone if voids begin filling with debris.",['UMmBVTHYOR']
Clean and remove sediment when it reaches half the height of the sediment control log.,['UMmBVTHYOR']
Ensure geotextile fabric complies with CDOT 712.08b.,['UMmBVTHYOR']
Place a plastic sheeting or geomembrane liner with a minimum thickness of 10-mil.,['UMmBVTHYOR']
Remove and legally dispose of waste material from concrete washout operations when it accumulates to two-thirds of the wet storage capacity or at the end of construction.,['UMmBVTHYOR']
"Install the concrete washout area prior to any concrete placement on site, placing it a minimum of 50' from state waters.",['UMmBVTHYOR']
"Keep paved roadways clean of mud, dirt, rocks, and debris at all times.",['UMmBVTHYOR']
Clean and remove silt when it reaches half the height of the geotextile fabric.,['UMmBVTHYOR']
"Ensure that 2""-3"" stone contains less than 10% fines.",['UMmBVTHYOR']
Install a temporary culvert under the stone construction exit if a drainage ditch exists next to the roadway to convey flow.,['UMmBVTHYOR']
Provide inlet protection for any inlets located immediately adjacent to the construction exit.,['UMmBVTHYOR']
Do not use recycled concrete or recycled asphalt.,['UMmBVTHYOR']
Implement vehicle tracking control at the concrete washout entrance if access is off pavement.,['UMmBVTHYOR']
Ensure wood posts have a minimum diameter or cross-section of 2 inches. Metal posts should be studded 'T' or 'U' type.,['UMmBVTHYOR']
Remove the silt fence upon permanent stabilization of areas upslope of the silt fence and permanently stabilize disturbed areas.,['UMmBVTHYOR']
"Seed and mulch or otherwise stabilize the disturbed area when the concrete washout area is removed, as accepted by the city.",['UMmBVTHYOR']
Ensure no stormwater runoff drains into the concrete washout area.,['UMmBVTHYOR']
Repair or enlarge the concrete washout area as necessary to maintain capacity for waste concrete.,['UMmBVTHYOR']
Provide and install rock sock jointing as per specifications.,['EGuBejySAd']
Provide and install rock sock plan as per specifications.,['EGuBejySAd']
Provide and install construction fence using plastic mesh as specified in CF-1.,['EGuBejySAd']
Provide and install rock sock section as per specifications.,['EGuBejySAd']
Provide and install RS-1 rock sock perimeter control as per specifications.,['EGuBejySAd']
Provide and install stabilized staging area as specified in SSA-1.,['EGuBejySAd']
Provide and install construction fence installation notes as per specifications.,['EGuBejySAd']
Provide and install stabilized staging area installation notes as per specifications.,['EGuBejySAd']
Provide and install rock sock installation notes as per specifications.,['EGuBejySAd']
Provide and install 2|6BS walls.,['BCr4RwQomw']
Provide and install roof access patch.,['BCr4RwQomw']
Provide and install 1|6BS walls.,['BCr4RwQomw']
Provide and install roof grain and overflow see detail 5/A-105.,['BCr4RwQomw']
Provide and install R-30 closed cell insulation typical all sloped roofs.,['BCr4RwQomw']
Provide and install asphalt shingle roof gaf - timberline hdz - color barkwood.,['BCr4RwQomw']
Provide and install mop and broom holder.,['BCr4RwQomw']
Existing interior walls to be demo.,['BCr4RwQomw']
